country,start_period,end_period,start_value,end_value,change_value,change_pct,metric,unit,aggregation_type
Singapore,2000,2020,32.978,26.7255,-6.252500000000001,-18.959609436594096,CO2 from Oil,tonnes,average_annual
Brunei,2000,2020,17.139,26.2425,9.1035,53.11570103273237,CO2 per Capita,tonnes_per_person,average_annual
Laos,2000,2020,0.19774999999999998,2.88875,2.691,1360.8091024020227,CO2 per Capita,tonnes_per_person,average_annual
Vietnam,2000,2020,0.83375,3.3930000000000002,2.5592500000000005,306.9565217391305,CO2 per Capita,tonnes_per_person,average_annual
Malaysia,2000,2020,5.65175,7.925,2.27325,40.22205511567214,CO2 per Capita,tonnes_per_person,average_annual
Indonesia,2000,2020,1.41025,2.49625,1.0859999999999999,77.00762276192164,CO2 per Capita,tonnes_per_person,average_annual
Cambodia,2000,2020,0.16949999999999998,1.23025,1.06075,625.8112094395282,CO2 per Capita,tonnes_per_person,average_annual
Thailand,2000,2020,2.7952500000000002,3.753,0.9577499999999999,34.26348269385564,CO2 per Capita,tonnes_per_person,average_annual
Philippines,2000,2020,0.853,1.28475,0.4317500000000001,50.615474794841745,CO2 per Capita,tonnes_per_person,average_annual
Myanmar,2000,2020,0.20875,0.59425,0.38549999999999995,184.67065868263472,CO2 per Capita,tonnes_per_person,average_annual
Singapore,2000,2020,9.46725,8.706,-0.7612500000000004,-8.040877762813915,CO2 per Capita,tonnes_per_person,average_annual
